SampleID,Building_Name,Main_Area,Main_Area_short,Main_Area_simplified_for_PERMANOVA,FloorVSnotFloor_for_PERMANOVA,Area_details,Material,Material_simplified,Material_simplified_PERMANOVA,BuildingType
P4_B1,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 126 (vis lab),vinyl,plastic,plastic,office
P4_B10,3PP,floor_addIfOfficeOrLab,floor,floor,floor,in front of door to stairs,carpet,cloth,cloth,office
P4_B11,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 127A cafe door,vinyl,plastic,plastic,office
P4_B12,3PP,blank,blank,blank,other,blank,blank,blank,blank,office
P4_B2,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 132 (classroom back door),vinyl,plastic,plastic,office
P4_B3,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 131 (think tank),vinyl,plastic,plastic,office
P4_B4,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 132 (classroom front door),vinyl,plastic,plastic,office
P4_B5,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 100 (Tom's office),vinyl,plastic,plastic,office
P4_B6,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 112 (back fab lab door),carpet,cloth,cloth,office
P4_B7,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 112 (main fab lab door),vinyl,plastic,plastic,office
P4_B8,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 110B (ICCEW),carpet,cloth,cloth,office
P4_B9,3PP,floor_addIfOfficeOrLab,floor,floor,floor,room 119 (gym),carpet,cloth,cloth,office
P4_C1,3PP,door_handle_labOrOffice,handle,handle,other,room 112 (main fab lab),metal,metal,metal,office
P4_C10,3PP,buildingMap,buildingMap,buildingMap,other,next to elevator,plastic,plastic,plastic,office
P4_C11,3PP,counter top,counter_table,counter_table,other,outside fab lab kitchen counter top,plastic,plastic,plastic,office
P4_C12,3PP,blank,blank,blank,other,blank,blank,blank,blank,office
P4_C2,3PP,door_handle_labOrOffice,handle,handle,other,room 119 (gym),metal,metal,metal,office
P4_C3,3PP,door_handle_labOrOffice,handle,handle,other,central doors to stairs,metal,metal,metal,office
P4_C4,3PP,building_door_handle,handle,handle,other,main entrance front facing doors R,metal,metal,metal,office
P4_C5,3PP,building_door_handle,handle,handle,other,main entrance front facing doors L,metal,metal,metal,office
P4_C6,3PP,building_door_handle,handle,handle,other,main entrance rear facing doors R,metal,metal,metal,office
P4_C7,3PP,floor_by_exit,floor,floor,floor,main entrance front facing doors R,carpet,cloth,cloth,office
P4_C8,3PP,floor_by_exit,floor,floor,floor,main entrance front facing doors L,carpet,cloth,cloth,office
P4_C9,3PP,floor_by_exit,floor,floor,floor,main entrance rear facing doors R,vinyl,plastic,plastic,office
P4_D1,3PP,WomensRestroom_DoorHandle,handle,handle,other,first floor restroom,metal,metal,metal,office
P4_D10,3PP,counter top,counter_table,counter_table,other,fab lab counter,wood,wood,wood,office
P4_D11,3PP,fridge handle,handle,handle,other,inside fab lab,metal,metal,metal,office
P4_D12,3PP,blank,blank,blank,other,blank,blank,blank,blank,office
P4_D2,3PP,MensRestroom_DoorHandle,handle,handle,other,first floor restroom,metal,metal,metal,office
P4_D3,3PP,water_fountain,water_fountain,water_fountain,other,button,metal,metal,metal,office
P4_D4,3PP,water_fountain,water_fountain,water_fountain,other,surface,metal,metal,metal,office
P4_D5,3PP,garbage_can,garbage_can,garbage_can,other,kitchen of fab lab,metal,metal,metal,office
P4_D6,3PP,garbage_can,garbage_can,garbage_can,other,outside stairs/code lab,metal,metal,metal,office
P4_D7,3PP,microwave handle,handle,handle,other,main cafe area,metal,metal,metal,office
P4_D8,3PP,cafe counter,counter_table,counter_table,other,main cafe area,plastic,plastic,plastic,office
P4_D9,3PP,keypad,keypad,other,other,room 100 (Tom's office),metal,metal,metal,office
P5_A1,SLSRC,stair_handrail,stair_handrail,stair_handrail,other,bottom,metal,metal,metal,research
P5_A10,SLSRC,couch_Rarmrest,couch_Rarmrest,couch,other,couch2 3rd floor,wooden armrest,wood,wood,research
P5_A11,SLSRC,couch_Rarmrest,couch_Rarmrest,couch,other,couch3 3rd floor,leather,leather,leather,research
P5_A12,SLSRC,blank,blank,blank,other,blank,blank,blank,blank,research
P5_A2,SLSRC,stair_handrail,stair_handrail,stair_handrail,other,middle,metal,metal,metal,research
P5_A3,SLSRC,stair_handrail,stair_handrail,stair_handrail,other,top,metal,metal,metal,research
P5_A4,SLSRC,elevator_DoorClose,elevator_Button,elevator_Button,other,Doorclose,plastic button,plastic,plastic,research
P5_A5,SLSRC,elevator_callButton,elevator_Button,elevator_Button,other,callButton,plastic button,plastic,plastic,research
P5_A6,SLSRC,elevator_floorButton,elevator_Button,elevator_Button,other,floorButton,plastic button,plastic,plastic,research
P5_A7,SLSRC,elevatorFloor,floor,floor,floor,underButtons,linoleum,linoleum,linoleum,research
P5_A8,SLSRC,elevatorFloor,floor,floor,floor,middlePart,linoleum,linoleum,linoleum,research
P5_A9,SLSRC,couch_Rarmrest,couch_Rarmrest,couch,other,couch1st floor,leather,leather,leather,research
P5_B1,SLSRC,floor_Lab,floor,floor,floor,1300; floor on west wing 1st floor doesn't actually look like linoleum,linoleum?,linoleum,linoleum,research
P5_B10,SLSRC,floor_Office,floor,floor,floor,1000; main office,linoleum?,linoleum,linoleum,research
P5_B11,SLSRC,floor_Lab,floor,floor,floor,2050,linoleum,linoleum,linoleum,research
P5_B12,SLSRC,blank,blank,blank,other,blank,blank,blank,blank,research
P5_B2,SLSRC,floor_Lab,floor,floor,floor,1250,linoleum?,linoleum,linoleum,research
P5_B3,SLSRC,floor_Lab,floor,floor,floor,1200,linoleum?,linoleum,linoleum,research
P5_B4,SLSRC,floor_Office,floor,floor,floor,1210,linoleum?,linoleum,linoleum,research
P5_B5,SLSRC,floor_Office,floor,floor,floor,1160,linoleum?,linoleum,linoleum,research
P5_B6,SLSRC,floor_Lab,floor,floor,floor,3150; floor under very disgusting door handle,linoleum,linoleum,linoleum,research
P5_B7,SLSRC,floor_Lab,floor,floor,floor,3550; unused/in transition lab,linoleum,linoleum,linoleum,research
P5_B8,SLSRC,floor_stockroom,floor,floor,floor,1550,linoleum,linoleum,linoleum,research
P5_B9,SLSRC,floor_Office,floor,floor,floor,1640,linoleum,linoleum,linoleum,research
P5_C1,SLSRC,door_handle_lab,handle,handle,other,"3150; very disgusting, visible oily build-up on door handle",metal,metal,metal,research
P5_C10,SLSRC,buildingMap,buildingMap,buildingMap,other,"1st floor around corner from elements, visibile if enter thru door by bus stop",plastic,plastic,plastic,research
P5_C11,SLSRC,microwave_table,counter_table,counter_table,other,"table with microwave, next to elements; whole seasame seed was on table.  I did not take whole thing",wooden? laminate,plastic,plastic,research
P5_C12,SLSRC,blank,blank,blank,other,blank,blank,blank,blank,research
P5_C2,SLSRC,door_handle_lab,handle,handle,other,3550,metal,metal,metal,research
P5_C3,SLSRC,door_handle_lab,handle,handle,other,"1700; NMR facility door, lots of people touch",metal,metal,metal,research
P5_C4,SLSRC,building_door_handle,handle,handle,other,"inner_most_doorLocation; Exit on East wing by stockroom, door to courtyard exit",metal,metal,metal,research
